ID,Player Name,Player Status,Year of Event,Statement Made,Event Description,Platform,Event Type,Media Tone,Post Status,Media Coverage,Sources,URL,,
19,Baker Mayfield,Playing,2026,Still waiting on a text/call from him after I got shipped off like a piece of garbage.,Throws shade at former coach Kevin Stefanski regarding their time working together under the Cleveland Brown,Twitter/X,Controversy,Negative,Active,Medium,US Weekly ,https://sports.yahoo.com/articles/shipped-off-piece-garbage-baker-130729364.html,,
20,Puka Nacua,Playing,2025,I don't think I'll be ready to get married anytime soon...I'm [trying to] win a Super Bowl,Ex-girlfriend has shared pictures of baby during Rams Game after paternity discussion,St. Brown Podcast,Controversy,Negative,Available,Medium,US Weekly,https://www.usmagazine.com/entertainment/news/puka-nacuas-ex-shares-baby-pics-during-rams-game-after-paternity-fight/,,
21,Taylor Lewan,Retired,2026,...my pregnant wide and two daughters are flying to meet me...my oldest daughter isn't on their connecting flight..told the wait would be two and a half hours.,Issues problems with family's flight under Alaska Airlines when they worked to visit him,Twitter/X,Controversy,Mixed,Active,Medium,US Weekly ,https://www.yahoo.com/entertainment/celebrity/articles/former-nfl-player-taylor-lewan-180101452.html,,
22,Breiden Fehoko,Retired,2026,These NFL teams come out here and post these mental health awareness posts...All they care about is what you bring to the table when it's game day.,"After the death of Rondale Moore, Fehoko hones in on the NFL's handling of the passing and mental health as a whole. ",Twitter/X,Support,Mixed,Active,Medium,US Weekly ,https://sports.yahoo.com/articles/ex-nfl-player-critical-league-195849417.html,,
23,Ryan Leaf,Retired,2026,...going to the best Dr available instead of having to be butchered on by @ProFootballDoc #FakeDrChao,Calls out a doctor's practices and capabilities after past experience being looked at by the doctor and negligence reports released about him,Twitter/X,Controversy,Mixed,Active,Medium,"US Weekly, AOL",https://www.aol.com/articles/former-nfl-qb-ryan-leaf-230331087.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAKXEvsXD1LXyXgXjG7XQI8_Rmj8tlILgREZTvg0Tw0FPvatBElsL-rgP7uY5MMkb7hT8LkRAYcltB5f15jyPQVGsDyIeZ7iYLapgIiERTEAUw-dGvCk0hA8SqOmdnwYy5Q7MDOyxu3D_DOiuT4F9DQtYFRQTk0TwR6z536vsIatD,,
24,Travis Kelce,Playing,2026,Those moments of rising to the occasion in the heat of the battle...that's a feeling I know I'll never get again,Discussion about future plans of retirement while looking back on the enjoyment of playing football,"""New Heights"" podcast",Reflection,Positive,Available,Medium,"Yahoo Sports, People",https://sports.yahoo.com/articles/travis-kelce-career-planned-nfl-130453202.html,,
25,Vernon Davis,Retired,2026,...reporting and look foward to clearing my name..Your positivity means everything. ,"Defending himself online after allegations of attacking a woman, resulting in arrest warrant being issued",Instagram,Controversy,Negative,Active,High,"People, New York Post, TMZ",https://people.com/vernon-davis-breaks-silence-on-allegations-he-attacked-pregnant-woman-11896782,,
26,Cam Newton,Retired,2026,...women's value gets lowered the more children that they have,"Asked about his opinion when it comes to the number of children a woman have tied to their value, resulting in some controversial answers being made","""It's Giving"" podcast",Controversy,Negative,Available,High,"Yahoo Sports, ESPN, People",https://www.aol.com/articles/former-nfl-quarterback-cam-newton-213948646.html,,
27,Tom Brady,Retired,2026,It was a challenge. It just took a lot out of me in terms of my ability to play.,Had disagreements with his then-wife about retirement plans then pursue last year of playing professional football amid struggle with marriage,FS1's The Herd with Colin Cowherd,Reflection,Negative,Available,Medium,"Fox Sports, Yahoo Sports",https://www.usmagazine.com/celebrity-news/news/tom-bradys-divorce-took-a-lot-out-of-me-during-his-last-nfl-season/,,
28,A.J. Brown,Playing,2025,"If you're not welcomed, not listened to, quietly withdraw. Don't make a scene.",He wasn't as involved in the game with Tampa Bay Buccaneers as desired; later posting cryptic message about his frustration;,Twitter/X,Controversy,Mixed,Active,Medium,Yahoo Sports,https://www.nfl.com/news/a-j-brown-let-frustrations-boil-over-in-cryptic-post-after-eagles-win-over-buccaneers,,
29,Lil'Jordan Humphrey,Playing,2026,🤚🏽,"After getting a trade, the Broncos gave Humphrey's number to the new player, to which he hints a new number. ",Twitter/X,Support,Positive,Active,Low,BroncosWire,https://broncoswire.usatoday.com/story/sports/nfl/broncos/2026/03/20/broncos-liljordan-humphrey-jersey-number/89231245007/,,
30,Amik Robertson,Playing,2025,Well deserved 97!!!! Lord!! He gone pull up tomorrow at practice in a spaceship car!!! 💰,"Reaction to the $180 million contract extension of Aidan Hutchinson, making him one of those with highest non-quarterback average salaries",Twitter/X,Support,Positive,Active,Low,Athlon Sports ,https://sports.yahoo.com/article/amik-robertson-hilarious-reaction-aidan-225021132.html,,
31,J.K. Dobbins,Playing,2025,BAN OR ATLEAST CALL THE MUTHER FUCKIN HIP DROP TACKLE!,"During the game against the Las Vegas Raiders, Dobbins left the game because of a hip-drop tackle. Lack of enforcement from the officials occurred. ",Twitter/X,Controversy,Positive,Active,Low,BroncosWire,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/j-k-dobbins-injured-his-foot-on-what-he-believes-was-a-hip-drop-tackle,,
32,Jason Kelce,Retired,2025,Gaints kicker is gonna have to fly home on Southwest,"Reaction to mistake made by Jude McAtamney, aiding in Giants' loss",Twitter/X,Controversy,Mixed,Deleted,Medium,"MSN, US Weekly",https://www.usmagazine.com/celebrity-news/news/jason-kelce-deletes-tweet-mocking-giants-kicker-who-was-cut-from-team/,,
33,Emeka Egbuka,Playing,2026,Is CTE even real? 🤔,Reasoned that made tweet was not posted by him as he does not operate the account,Twitter/X,Controversy,Mixed,Deleted,Medium,"Total Pro Sports, Yahoo Sports",https://sports.yahoo.com/articles/emeka-egbuka-tweet-cte-real-203551445.html,,
34,Ed Reed,Retired,2026,I do not approve this message ,Responds to White House video using NFL highlights to promote war imaginery; Reed publicly rejects association,Twitter/X,Controversy,Negative,Active,Medium,"AOL News, Yahoo News, Washington Post",https://sports.yahoo.com/articles/nfl-legend-does-not-approve-135615792.html,,
35,Caleb Williams,Playing,2026,❄️🦸🏻,Reaction to Lil Wayne's tweet after the Bears defeat Green Bay in the NFL Playoffs,Twitter/X,Support,Positive,Active,Medium,"Bleacher Report, Yahoo Sports",https://sports.yahoo.com/articles/caleb-williams-fires-back-packers-062855936.html,,
36,Cooper Kupp,Playing,2025,...always believed it was going to begin and end in LA....looking forward to playing elite football for years to come. ,Traded to the Seattle Seahawks after desire to remain in the Rams; then becoming a rival to previous team in the Super Bowl,Twitter/X,Reflection,Positive,Active,Medium,CNN Sports,https://www.espn.com/nfl/story/_/id/46932042/seattle-seahawks-cooper-kupp-return-los-angeles-rams-exit,,
37,J.J. Watt,Retired,2022,My heart is filled with nothing but love and gratitude. It's an absolute honor and a pleasure. ,Announces his retirement and reflects on football journey ,Twitter/X,Reflection,Positive,Active,Medium,ESPN,https://www.espn.com/nfl/story/_/id/35328432/cardinals-jj-watt-announces-final-nfl-season,,
38,Saquon Barkley,Playing,2025,"Maybe I just respect the office, not a hard concept to understand. ",Responds to criticism over golfing with Trump before the Eagles visited the White House,Twitter/X,Controversy,Negative,Active,High,"CBS News, Yahoo Sports, NBC News",https://sports.yahoo.com/nfl/article/saquon-barkley-defends-decision-to-golf-with-president-donald-trump-before-eagles-white-house-visit-154715971.html,,
39,Joe Burrow,Playing,2026,"The amount of ppl that don’t understand what a catch is in the rule book flabbergasts me...The two plays yesterday were not difficult calls, and they got them both right",First tweet in two years was to respond to controversial calls in the Bills vs. Broncos and Bears vs. Rams games,Twitter/X,Humor,Positive,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/joe-burrow-just-tweeted-first-231704693.html,,
40,Patrick Mahomes,Playing,2026,⏰,Has a playful interactionwith free agent WR Allen Lazard under the post increasing the anticipation for his return to the upcoming season,Instagram,Humor,Positive,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/patrick-mahomes-allen-lazards-playful-113300993.html,,
41,Justin Jefferson,Playing,2024,Yall wild for posting this 👎🏽This ain't cool!!,Criticized the NFL for being insensitive,Twitter/X,Controversy,Mixed,Active,Medium,Yahoo Sports,https://sports.yahoo.com/twitter-justin-jefferson-call-league-022609777.html,,
