player_name,Url,gender,Nationality ,league_country,team_name,position,years_active,olympian,data_collection_date,instagram_username,instagram_followers (in thousands),instagram_following,instagram_post_count,avg_likes_last10 (thousands),avg_comments_last10 ,posts_per_week,athletic_content_percent,lifestyle_content_percent,sponsorship_content_percent,national_identity_content_percent,points_per_game,awards_count,national_team_member,championships_won
Luciano De Cecco,https://www.instagram.com/Dececcovolley/,male,Argentina,Italy,Piacenza,S,21,yes,May 10th,Dececcovolley,327,295,1769,28,180,1,80,11,5,5,3,33,yes,10
Agustin Loser,https://www.instagram.com/agusloser/,male,Argentina,Argentina,Monza,MB,9,yes,May 10th,agusloser,241,1006,354,16,95,1,79,16,4,5,10.5,11,yes,2
Brenda Castillo,https://www.instagram.com/brendacastillofficial/,female,Dominican Republic,Turkey,Fenerbahce,L,19,yes,May 10th,brendacastillofficial,185,129,301,14,110,0.8,84,8,0,4,0,83,yes,12
Paola Egonu,https://www.instagram.com/paolaegonu/,female,Italy,Italy,Milano,OP,14,yes,May 10th,paolaegonu,629,2739,857,82,410,1.5,58,12,4,6,25.5,40,yes,15
Zhu Ting,https://www.instagram.com/zhuting1129/,female,China,Turkey,VakifBank,OH,16,yes,May 10th,zhuting1129,102,134,115,45,210,0.5,81,6,24,5,20,41,yes,17
Kim Yeon-koung,https://www.instagram.com/Kimyk10/,female,South Korea,South Korea,Heungkuk Life,S,16,yes,May 10th,Kimyk10,1500,835,191,142,950,2,52,18,8,4,20.5,39,yes,11
Tijana Boskovic,https://www.instagram.com/coti_18/,female,Serbia,Turkey,Eczacibasi,OP,13,yes,May 10th,coti_18,354,639,789,48,160,0.5,84,8,26,4,24,44,yes,10
Gabi Guimaraes,https://www.instagram.com/Gabiguimaraes10/,female,Brazil,Turkey,VakifBank,OH,16,yes,May 10th,Gabiguimaraes10,2000,996,1410,76,380,1.5,68,12,4,5,16.5,36,yes,21
Ana Cristina Souza,https://www.instagram.com/ana.cristina.desouza/,female,Brazil,Turkey,Fenerbahce,OH,9,yes,May 10th,ana.cristina.desouza,394,2905,218,34,190,1.2,74,18,15,4,15.5,9,yes,5
Rosamaria Montibeller,https://www.instagram.com/rosamariaoficial/,female,Brazil,Turkey,Fenerbahce,OP,14,yes,May 10th,rosamariaoficial,1600,725,1232,62,450,2.5,52,22,4,4,18,11,yes,6
Monica De Gennaro,https://www.instagram.com/mokidegennaroofficial/,female,Italy,Italy,Imoco Volley,L,20,yes,May 10th,mokidegennaroofficial,166,543,345,18,85,0.5,88,8,22,4,0,28,yes,23
Alessia Orro,https://www.instagram.com/Alessiaorro8/,female,Italy,Italy,Milano,S,12,yes,May 10th,Alessiaorro8,583,898,1853,35,160,1.2,74,18,0,4,3.5,13,yes,6
Miriam Sylla,https://www.instagram.com/miriamsylla/,female,Italy,Italy,Milano,OH,15,yes,May 10th,miriamsylla,403,1135,602,38,195,1.2,68,18,4,5,12.5,12,yes,14
Ekaterina Antropova,https://www.instagram.com/a.antropova17/,female,Italy,Italy,Scandicci,OP,7,no,May 10th,a.antropova17,145,996,255,42,220,1.5,73,14,9,5,20,11,yes,4
Jordan Larson,https://www.instagram.com/gov1007/,female,USA,USA,NEC Red Rockets,OH,17,yes,May 10th,gov1007,185,3008,570,18,90,1,68,22,8,5,14.5,25,yes,16
Kelsey Robinson,https://www.instagram.com/krobin32/,female,USA,Italy,Scandicci,OH,17,yes,May 10th,krobin32,181,2240,992,21,145,3,42,44,5,4,13.5,14,yes,14
Kathryn Plummer,https://www.instagram.com/kathrynboden/,female,USA,Italy,Imoco Volley,OH,10,yes,May 10th,kathrynboden,67,4596,231,16,80,0.8,78,17,10,5,18,12,yes,9
Chiaka Ogbogu,https://www.instagram.com/chiaka11/,female,USA,Italy,Milano,MB,11,yes,May 10th,chiaka11,73,4767,223,14,85,1.2,74,18,0,4,10.5,10,yes,11
Haleigh Washington,https://www.instagram.com/hales_storm/,female,USA,Italy,Perugia,MB,12,yes,May 10th,hales_storm,53.7,1358,461,15.5,110,1.5,64,28,4,4,9.5,9,yes,8
Annie Drews,https://www.instagram.com/Adrews04/,female,USA,USA,LOVB,OP,11,yes,May 10th,Adrews04,114,2225,1152,12,75,1,74,18,4,4,19,13,yes,7
Dana Rettke,https://www.instagram.com/dana_rettke/,female,USA,Italy,Milano,MB,9,yes,May 10th,dana_rettke,77,1180,248,22,130,1.2,74,18,4,4,10.5,8,yes,3
Justine Wong-Orantes,https://www.instagram.com/Jwongorantes/,female,USA,USA,LOVB,L,10,yes,May 10th,Jwongorantes,55.1,665,476,14.5,90,1.2,68,24,4,4,0,10,yes,6
Micha Hancock,https://www.instagram.com/michahancock/,female,USA,Italy,Scandicci,S,14,yes,May 10th,michahancock,44.7,2881,100,16,95,1.2,74,18,4,4,4.5,12,yes,7
Michelle Bartsch-Hackley,https://www.instagram.com/Bartschhackley14/,female,USA,France,Cannes,OH,14,yes,May 10th,Bartschhackley14,43.9,3386,221,11,60,0.5,78,17,0,5,15.5,15,yes,12
Eda Erdem,https://www.instagram.com/Edaerdem14/,female,Turkey,Turkey,Fenerbahce,MB,22,yes,May 10th,Edaerdem14,1000,603,362,58,310,1.5,74,12,10,4,11.5,23,yes,13
Melissa Vargas,https://www.instagram.com/abreusmelisavargas/,female,Turkey,Turkey,Fenerbahce,OP,13,yes,May 10th,abreusmelisavargas,1600,239,133,85,620,1.2,78,14,4,6,23,24,yes,10
Zehra Gunes,https://www.instagram.com/Zehragunes/,female,Turkey,Turkey,VakifBank,MB,12,yes,May 10th,Zehragunes,3900,1292,352,185,820,2.5,52,14,28,4,10.5,15,yes,14
Ebrar Karakurt,https://www.instagram.com/ebrarkarakurt18/,female,Turkey,Italy,Novara,OP,9,yes,May 10th,ebrarkarakurt18,1400,681,580,115,1100,3,64,28,4,5,20.5,15,yes,7
Hande Baladin,https://www.instagram.com/handebaladin/,female,Turkey,Turkey,Eczacibasi,OH,10,yes,May 10th,handebaladin,1100,836,417,92,480,2,58,18,19,4,13.5,10,yes,9
Yuan Xinyue,https://www.instagram.com/Yuanyxyxyxy/,female,China,China,Tianjin,MB,14,yes,May 10th,Yuanyxyxyxy,4.939,30,22,28,130,0.5,84,8,4,4,11.5,11,yes,8
Li Yingying,https://www.instagram.com/liyingying_/,female,China,China,Tianjin,OH,11,yes,May 10th,liyingying_,85,98,41,206,90,0.5,88,8,0,4,20,19,yes,9
Arina Fedorovtseva,https://www.instagram.com/a.fed.10/,female,Russia,Turkey,Fenerbahce,OH,8,no,May 10th,a.fed.10,345,1198,228,42,210,1.5,68,14,14,4,19,15,yes,6
Natalia Goncharova,https://www.instagram.com/Natusi4ka8/,female,Russia,Russia,Dynamo Moscow,OP,17,yes,May 10th,Natusi4ka8,209,985,685,21,140,1,74,12,10,4,21,26,yes,15
Britt Herbots,https://www.instagram.com/brittherbots4/,female,Belgium,Italy,Novara,OH,13,yes,May 10th,brittherbots4,95.4,1154,746,16,95,1.2,74,18,4,4,22,18,yes,4
Nika Daalderop,https://www.instagram.com/Nikadaalderop/,female,Netherlands,Italy,Milano,OH,12,yes,May 10th,Nikadaalderop,72.5,1006,293,14,75,0.8,78,17,0,5,14.5,9,yes,5
Joanna Wolosz,https://www.instagram.com/Asiawolosz14/,female,Poland,Italy,Imoco Volley,S,19,yes,May 10th,Asiawolosz14,148,1095,1007,28,155,1.2,79,12,4,5,2,17,yes,20
Magdalena Stysiak,https://www.instagram.com/madzia_szlachta/,female,Poland,Italy,Milano,OP,11,yes,May 10th,madzia_szlachta,17.9,723,51,34,180,1.2,79,12,4,5,21.5,14,yes,3
Sarina Koga,https://www.instagram.com/Sarina.koga/,female,Japan,Japan,Hisamitsu Springs,OH,13,yes,May 10th,Sarina.koga,655,513,206,45,290,0.5,28,62,5,5,17.5,21,yes,7
Mayu Ishikawa,https://www.instagram.com/mayu_00514/,female,Japan,Japan,NEC Red Rockets,OH,9,yes,May 10th,mayu_00514,447,826,190,52,210,1.2,79,12,4,5,15.5,13,yes,4
Laura Dijkema,https://www.instagram.com/lauradijkema/,female,Netherlands,Italy,Scandicci,S,16,yes,May 10th,lauradijkema,100,986,733,14,95,1.5,64,28,4,4,2,10,yes,8
Darlan Souza,https://www.instagram.com/Darlan.souza01/,Male,Brazil ,Italy,Verona,OP,7,yes,May 15th,Darlan.souza01,845,907,173,45.2,180,1.5,65,15,10,10,22.4,16,yes,4
Flávio Gualberto,https://www.instagram.com/flavio_gualberto/,Male,Brazil,Italy ,Trentino,MB,14,yes,May 15th,flavio_gualberto,111,918,283,12.5,40,0.8,70,15,5,10,11.2,12,yes,6
Thijs ter Horst,https://www.instagram.com/thijshorst91/,Male,Nerthlands,South Korea,Suwon,OH,18,yes,May 15th,thijshorst91,7.376,494,372,38,10,0.4,55,35,5,5,15.6,8,yes,3
Yacine Louati,https://www.instagram.com/yacinelouati/,Male,France ,Italy ,Milano,OH ,17,yes,May 15th,yacinelouati,74.9,622,168,51,200,0.6,60,25,5,10,12.1,6,yes,5
Nicolas Le Goff,https://www.instagram.com/Losko7/,Male,France ,France,Montpellier,MB,17,yes,May 15th,Losko7,44.3,468,139,42,10,0.3,75,15,0,10,9.8,9,yes,8
Stephen Boyer,https://www.instagram.com/stephen.boyer_/,Male,France ,Japan,JTEKT Stings,OP,12,yes,May 15th,stephen.boyer_,85.7,320,103,85,30,0.5,65,20,10,5,19.5,11,yes,4
Piotr Nowakowski,https://www.instagram.com/pit_nowakowski/,Male,Poland,None,retured,MB,18,yes,May 15th,pit_nowakowski,112,290,891,60,20,0.2,40,50,5,5,10.5,15,yes,7
Bartosz Bednorz,https://www.instagram.com/Bednii/,Male,Poland,Poland,Asseco Resovia,OH,13,yes,May 15th,Bednii,201,280,622,18.4,60,0.9,60,20,15,5,14.8,10,yes,5
Grzegorz Łomacz,https://www.instagram.com/gregor_sypie/,Male,Poland,Poland,PGE Giek,S,20,yes,May 15th,gregor_sypie,103,369,286,55,23,0.5,70,20,5,5,1.8,7,yes,9
Robertlandy Simón,https://www.instagram.com/Robertlandy13/,Male,Cuba,Italy,Piancenza,MB,21,yes,May 15th,Robertlandy13,114,1889,741,14.2,6,0.4,70,25,6,4,13.4,28,yes,15
Miguel Ángel López,https://www.instagram.com/m_lopez1819/,Male,Cuba,Japan,Osaka Bluteon,MB,11,yes,May 15th,m_lopez1819,119,666,197,22,19,1.1,65,15,10,5,18.2,19,yes,8
Oleh Plotnytskyi,https://www.instagram.com/prostodiman_12/,Male,Ukraine,Italy,Perugia,OH,11,yes,May 15th,prostodiman_12,19.5,333,74,16.5,47,0.8,70,16,10,6,15.5,14,yes,6
Dmitry Muserskiy,https://www.instagram.com/dmitriy_muserskiy/,Male,Russia,Japan,Suntory Sunbirds,OH,20,yes,May 15th,dmitriy_muserskiy,79.7,50,0,0,0,0,0,0,0,0,17.1,22,yes,12
Maxim Mikhaylov,https://www.instagram.com/Maxmikhailov18/,Male,Russia,Italy ,Zenit Kazan,OP,23,yes,May 15th,Maxmikhailov18,42.2,307,160,7.4,20,0.2,80,15,0,5,18.9,31,yes,18
Yoshino Sato,https://www.instagram.com/yoshino_sato112/,Female,Japan,Japan,Red Rockets Kawasaki,OH,4,yes,May 15th,yoshino_sato112,223,1042,64,158,569,0.6,20,20,0,5,15.4,5,yes,3
Benjamin Diez,https://www.instagram.com/Bendiez14/,Male,France,Italy ,Padova,L,10,yes,May 15th,Bendiez14,8605,817,172,31,11,0.5,65,26,5,10,0,4,yes,4
Tomohiro Yamamoto,https://www.instagram.com/tomohiro_yamamoto/,Male,Japan,Japan,Osaka Blueteon,L,9,yes,May 15th,tomohiro_yamamoto,384,189,200,15,43,0.3,15,20,10,5,0,3,No,4
Tine Urnaut,https://www.instagram.com/Tineurnaut17/,Male,Slovenia,Slovenia,ACH Volley,OH ,20,yes,May 15th,Tineurnaut17,29.5,1828,411,6.8,23,0.6,60,25,5,10,14.1,12,yes,12
Alen Pajenk,https://www.instagram.com/alenpajenk/,Male,Slovenia,Slovenia,ACH Volley,MB,23,yes,May 15th,alenpajenk,9.079,629,448,4.5,10,0.4,70,20,0,10,10.2,8,yes,8
Srećko Lisinac,https://www.instagram.com/sreckolisinac_20/,Male,Serbia,Poland,Warszawa,MB,17,yes,May 15th,sreckolisinac_20,56.3,1534,197,8.2,30,0.3,65,25,5,5,11.9,7,yes,7
